                          name                          |                                     setting                                      
--------------------------------------------------------+----------------------------------------------------------------------------------
 application_name                                       | psql
 archive_command                                        | (disabled)
 archive_mode                                           | off
 array_nulls                                            | on
 authentication_timeout                                 | 60
 autovacuum_max_workers                                 | 3
 autovacuum_multixact_freeze_max_age                    | 400000000
 autovacuum_work_mem                                    | -1
 backslash_quote                                        | safe_encoding
 block_size                                             | 32768
 bonjour                                                | off
 bonjour_name                                           | 
 bytea_output                                           | hex
 check_function_bodies                                  | on
 checkpoint_completion_target                           | 0.5
 checkpoint_timeout                                     | 300
 client_connection_check_interval                       | 0
 client_encoding                                        | UTF8
 client_min_messages                                    | notice
 cpu_index_tuple_cost                                   | 0.005
 cpu_operator_cost                                      | 0.0025
 cpu_tuple_cost                                         | 0.01
 create_restartpoint_on_ckpt_record_replay              | off
 cursor_tuple_fraction                                  | 1
 data_checksums                                         | on
 data_directory                                         | /tmp/gpdb-cluster/qddir/demoDataDir-1
 data_sync_retry                                        | off
 DateStyle                                              | ISO, MDY
 db_user_namespace                                      | off
 deadlock_timeout                                       | 1000
 debug_assertions                                       | on
 debug_pretty_print                                     | on
 debug_print_parse                                      | off
 debug_print_plan                                       | off
 debug_print_prelim_plan                                | off
 debug_print_rewritten                                  | off
 debug_print_slice_table                                | off
 default_statistics_target                              | 100
 default_tablespace                                     | 
 default_text_search_config                             | pg_catalog.english
 default_transaction_deferrable                         | off
 default_transaction_isolation                          | read committed
 default_transaction_read_only                          | off
 dynamic_library_path                                   | $libdir
 dynamic_shared_memory_type                             | posix
 effective_cache_size                                   | 524288
 effective_io_concurrency                               | 1
 enable_bitmapscan                                      | on
 enable_groupagg                                        | on
 enable_hashagg                                         | on
 enable_hashjoin                                        | on
 enable_indexonlyscan                                   | on
 enable_indexscan                                       | on
 enable_material                                        | on
 enable_mergejoin                                       | off
 enable_nestloop                                        | off
 enable_seqscan                                         | on
 enable_sort                                            | on
 enable_tidscan                                         | on
 escape_string_warning                                  | on
 event_source                                           | PostgreSQL
 exit_on_error                                          | off
 explain_memory_verbosity                               | suppress
 extra_float_digits                                     | 0
 from_collapse_limit                                    | 20
 geqo_seed                                              | 1
 gin_fuzzy_search_limit                                 | 0
 gp_adjust_selectivity_for_outerjoins                   | on
 gp_appendonly_compaction_threshold                     | 10
 gp_autostats_allow_nonowner                            | off
 gp_autostats_mode                                      | on_no_stats
 gp_autostats_mode_in_functions                         | none
 gp_autostats_on_change_threshold                       | 2147483647
